,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
739,0.000640878,0.013432165,0.047712194,-0.006075204,0.234934079,0.750803227,0.014262694
105,0.000765412,0.014586596,0.052473649,-0.006527886,0.019805594,0.954689916,0.02550449
508,0.001041419,0.013005176,0.080077288,-0.005461169,0.002578076,0.287140286,0.710281638
120,0.001096772,0.010506131,0.104393477,-0.004156294,0.011744069,0.085959995,0.902295936
525,0.00077866,0.014845589,0.052450623,-0.006644134,0.002771665,0.994067828,0.003160507
486,0.000731075,0.013863968,0.052732007,-0.006200909,0.006607926,0.890230098,0.103161976
790,0.000848966,0.013701069,0.061963459,-0.006001569,0.000172901,0.593883505,0.405943595
119,0.000910235,0.013750565,0.066196222,-0.005965047,0.002833099,0.528028988,0.469137913
485,0.000746598,0.014532079,0.051375857,-0.006519442,0.011055421,0.955099109,0.03384547
828,0.000749673,0.013571414,0.055239093,-0.006036035,0.014078607,0.82010619,0.165815203
912,0.000710685,0.013783611,0.051560123,-0.006181121,0.055837016,0.871367848,0.072795137
835,0.00072402,0.014140228,0.051202825,-0.006346094,0.108614496,0.888606269,0.002779235
820,0.000760866,0.014592099,0.052142352,-0.006535183,0.039038723,0.958982628,0.001978648
764,0.000469656,0.01148774,0.040883214,-0.005274214,0.001252074,0.584913503,0.413834423
774,0.000463615,0.011695408,0.039640775,-0.005384089,0.011623437,0.507991114,0.480385449
715,0.0003945,0.011983385,0.032920552,-0.005597193,0.141567402,0.846923822,0.011508776
663,0.00037912,0.01194041,0.031751042,-0.005591085,0.257848069,0.737558839,0.004593092
234,0.000447558,0.011686218,0.038297926,-0.005395551,0.009159502,0.648088139,0.342752358
143,0.001124178,0.014903135,0.075432302,-0.00632739,0.000361579,0.033462175,0.966176246
904,0.001123497,0.010922802,0.102857913,-0.004337904,0.013574185,0.003043044,0.983382771
375,0.000396244,0.012117891,0.032699093,-0.005662701,0.025036606,0.928417835,0.046545559
174,0.000392942,0.011224657,0.035007047,-0.005219387,0.005347287,0.72142205,0.273230663
342,0.000734489,0.014173156,0.051822514,-0.006352089,0.005467235,0.397917088,0.596615678
162,0.00080737,0.013895821,0.058101607,-0.006140541,0.007984994,0.384782769,0.607232237
204,0.000407003,0.012261791,0.033192763,-0.005723893,0.02790491,0.949121042,0.022974048
653,0.000465563,0.012545213,0.037110809,-0.005807044,0.016655028,0.764426292,0.21891868
297,0.000413546,0.012153859,0.034025883,-0.005663384,0.01231158,0.95292382,0.0347646
992,0.000408108,0.012174312,0.033522069,-0.005679048,0.073859297,0.920749147,0.005391556
585,0.000402874,0.012100101,0.033295124,-0.005647176,0.058750918,0.922855257,0.018393825
164,0.00052043,0.012554869,0.041452418,-0.005757005,0.005295538,0.456293437,0.538411025
734,0.000526114,0.015933857,0.033018599,-0.007440815,0.006843097,0.98391086,0.009246044
304,0.000463071,0.01413213,0.032767217,-0.006602994,0.266511837,0.732080159,0.001408004
644,0.000518317,0.013376978,0.03874695,-0.006170172,0.002283264,0.569425208,0.428291528
579,0.001050049,0.013655777,0.076894151,-0.005777839,0.006257381,0.151912233,0.841830386
592,0.001077567,0.010544588,0.102191523,-0.004194726,0.013811671,0.079522063,0.906666266
938,0.000501723,0.015145806,0.033126196,-0.00707118,0.087946997,0.895571844,0.01648116
823,0.000438257,0.011715613,0.037407902,-0.00541955,0.003282089,0.562599291,0.43411862
433,0.000774236,0.014647215,0.052858915,-0.006549372,0.007753583,0.405294937,0.586951479
192,0.000854938,0.014321181,0.059697439,-0.006305653,0.002012224,0.38475187,0.613235906
433,0.000506061,0.015426308,0.032805067,-0.007207093,0.044918307,0.928795952,0.026285741
888,0.000553925,0.01472233,0.037624837,-0.00680724,0.009932161,0.755279506,0.234788333
459,0.000497545,0.014912965,0.033363256,-0.006958938,0.140852653,0.857844794,0.001302554
534,0.000482517,0.014531201,0.033205572,-0.006783084,0.197658802,0.80179119,0.000550008
485,0.000475062,0.014400596,0.032989085,-0.006725235,0.206205645,0.786281318,0.007513037
904,0.000467372,0.014094393,0.033160161,-0.006579824,0.101634832,0.873540015,0.024825153
518,0.000457752,0.013974538,0.032756123,-0.006529517,0.150823386,0.835949481,0.013227133
934,0.00050513,0.01281367,0.039421178,-0.005901705,0.001720162,0.627329303,0.370950535
935,0.001043099,0.013810498,0.075529457,-0.00586215,0.003855529,0.160218126,0.835926345
